array_type	array_size	frequency	config	elapsed_time
expt_seq	1000	1.8GHz	0x09	
expt_seq	1000	1.8GHz	0x60	
expt_seq	1000	1.8GHz	0x60	
expt_seq	1000	1.8GHz	0x60	
expt_seq	1000	1.8GHz	0x60	
expt_seq	1000	1.8GHz	0x60	
expt_seq	1000	1.8GHz	0x69	
expt_seq	1000	1.8GHz	0x69	
expt_seq	1000	1.8GHz	0x69	
expt_seq	1000	1.8GHz	0x69	
expt_seq	1000	1.8GHz	0x69	
expt_seq	1000	1.8GHz	0xf0	
expt_seq	1000	1.8GHz	0xf0	
expt_seq	1000	1.8GHz	0xf0	
expt_seq	1000	1.8GHz	0xf0	
expt_seq	1000	1.8GHz	0xf0	
expt_seq	1000	1.8GHz	0x0f	
expt_seq	1000	1.8GHz	0x0f	
expt_seq	1000	1.8GHz	0x0f	
expt_seq	1000	1.8GHz	0x0f	
expt_seq	1000	1.8GHz	0x0f	
expt_seq	1000	1.8GHz	0xff	
expt_seq	1000	1.8GHz	0xff	
expt_seq	1000	1.8GHz	0xff	
expt_seq	1000	1.8GHz	0xff	
expt_seq	1000	1.8GHz	0xff	
expt_seq	10000	1.6GHz	0x09	
expt_seq	10000	1.6GHz	0x09	
expt_seq	10000	1.6GHz	0x09	
expt_seq	10000	1.6GHz	0x09	
expt_seq	10000	1.6GHz	0x09	
expt_seq	10000	1.6GHz	0x60	
expt_seq	10000	1.6GHz	0x60	
expt_seq	10000	1.6GHz	0x60	
expt_seq	10000	1.6GHz	0x60	
expt_seq	10000	1.6GHz	0x60	
expt_seq	10000	1.6GHz	0x69	
expt_seq	10000	1.6GHz	0x69	
expt_seq	10000	1.6GHz	0x69	
expt_seq	10000	1.6GHz	0x69	
expt_seq	10000	1.6GHz	0x69	
expt_seq	10000	1.6GHz	0xf0	
expt_seq	10000	1.6GHz	0xf0	
expt_seq	10000	1.6GHz	0xf0	
expt_seq	10000	1.6GHz	0xf0	
expt_seq	10000	1.6GHz	0xf0	
expt_seq	10000	1.6GHz	0x0f	
expt_seq	10000	1.6GHz	0x0f	
expt_seq	10000	1.6GHz	0x0f	
expt_seq	10000	1.6GHz	0x0f	
expt_seq	10000	1.6GHz	0x0f	
expt_seq	10000	1.6GHz	0xff	
expt_seq	10000	1.6GHz	0xff	
expt_seq	10000	1.6GHz	0xff	
expt_seq	10000	1.6GHz	0xff	
expt_seq	10000	1.6GHz	0xff	
expt_seq	10000	1.8GHz	0x09	
expt_seq	10000	1.8GHz	0x09	
expt_seq	10000	1.8GHz	0x09	
expt_seq	10000	1.8GHz	0x09	
expt_seq	10000	1.8GHz	0x09	
expt_seq	10000	1.8GHz	0x60	
expt_seq	10000	1.8GHz	0x60	
expt_seq	10000	1.8GHz	0x60	
expt_seq	10000	1.8GHz	0x60	
expt_seq	10000	1.8GHz	0x60	
expt_seq	10000	1.8GHz	0x69	
expt_seq	10000	1.8GHz	0x69	
expt_seq	10000	1.8GHz	0x69	
expt_seq	10000	1.8GHz	0x69	
expt_seq	10000	1.8GHz	0x69	
expt_seq	10000	1.8GHz	0xf0	
expt_seq	10000	1.8GHz	0xf0	
expt_seq	10000	1.8GHz	0xf0	
expt_seq	10000	1.8GHz	0xf0	
expt_seq	10000	1.8GHz	0xf0	
expt_seq	10000	1.8GHz	0x0f	
expt_seq	10000	1.8GHz	0x0f	
expt_seq	10000	1.8GHz	0x0f	
expt_seq	10000	1.8GHz	0x0f	
expt_seq	10000	1.8GHz	0x0f	
expt_seq	10000	1.8GHz	0xff	
expt_seq	10000	1.8GHz	0xff	
expt_seq	10000	1.8GHz	0xff	
expt_seq	10000	1.8GHz	0xff	
expt_seq	10000	1.8GHz	0xff	
expt_seq	100000	1.6GHz	0x09	
expt_seq	100000	1.6GHz	0x09	
expt_seq	100000	1.6GHz	0x09	
expt_seq	100000	1.6GHz	0x09	
expt_seq	100000	1.6GHz	0x09	
expt_seq	100000	1.6GHz	0x60	
expt_seq	100000	1.6GHz	0x60	
expt_seq	100000	1.6GHz	0x60	
expt_seq	100000	1.6GHz	0x60	
expt_seq	100000	1.6GHz	0x60	
expt_seq	100000	1.6GHz	0x69	
expt_seq	100000	1.6GHz	0x69	
expt_seq	100000	1.6GHz	0x69	
expt_seq	100000	1.6GHz	0x69	
expt_seq	100000	1.6GHz	0x69	
expt_seq	100000	1.6GHz	0xf0	
expt_seq	100000	1.6GHz	0xf0	
expt_seq	100000	1.6GHz	0xf0	
expt_seq	100000	1.6GHz	0xf0	
expt_seq	100000	1.6GHz	0xf0	
expt_seq	100000	1.6GHz	0x0f	
expt_seq	100000	1.6GHz	0x0f	
expt_seq	100000	1.6GHz	0x0f	
expt_seq	100000	1.6GHz	0x0f	
expt_seq	100000	1.6GHz	0x0f	
expt_seq	100000	1.6GHz	0xff	
expt_seq	100000	1.6GHz	0xff	
expt_seq	100000	1.6GHz	0xff	
expt_seq	100000	1.6GHz	0xff	
expt_seq	100000	1.6GHz	0xff	
expt_seq	100000	1.8GHz	0x09	
expt_seq	100000	1.8GHz	0x09	
expt_seq	100000	1.8GHz	0x09	
expt_seq	100000	1.8GHz	0x09	
expt_seq	100000	1.8GHz	0x09	
expt_seq	100000	1.8GHz	0x60	
expt_seq	100000	1.8GHz	0x60	
expt_seq	100000	1.8GHz	0x60	
expt_seq	100000	1.8GHz	0x60	
expt_seq	100000	1.8GHz	0x60	
expt_seq	100000	1.8GHz	0x69	
expt_seq	100000	1.8GHz	0x69	
expt_seq	100000	1.8GHz	0x69	
expt_seq	100000	1.8GHz	0x69	
expt_seq	100000	1.8GHz	0x69	
expt_seq	100000	1.8GHz	0xf0	
expt_seq	100000	1.8GHz	0xf0	
expt_seq	100000	1.8GHz	0xf0	
expt_seq	100000	1.8GHz	0xf0	
expt_seq	100000	1.8GHz	0xf0	
expt_seq	100000	1.8GHz	0x0f	
expt_seq	100000	1.8GHz	0x0f	
expt_seq	100000	1.8GHz	0x0f	
expt_seq	100000	1.8GHz	0x0f	
expt_seq	100000	1.8GHz	0x0f	
expt_seq	100000	1.8GHz	0xff	
expt_seq	100000	1.8GHz	0xff	
expt_seq	100000	1.8GHz	0xff	
expt_seq	100000	1.8GHz	0xff	
expt_seq	100000	1.8GHz	0xff	
expt_seq	1000000	1.6GHz	0x09	
expt_seq	1000000	1.6GHz	0x09	
expt_seq	1000000	1.6GHz	0x09	
expt_seq	1000000	1.6GHz	0x09	
expt_seq	1000000	1.6GHz	0x09	
expt_seq	1000000	1.6GHz	0x60	
expt_seq	1000000	1.6GHz	0x60	
expt_seq	1000000	1.6GHz	0x60	
expt_seq	1000000	1.6GHz	0x60	
expt_seq	1000000	1.6GHz	0x60	
expt_seq	1000000	1.6GHz	0x69	
expt_seq	1000000	1.6GHz	0x69	
expt_seq	1000000	1.6GHz	0x69	
expt_seq	1000000	1.6GHz	0x69	
expt_seq	1000000	1.6GHz	0x69	
expt_seq	1000000	1.6GHz	0xf0	
expt_seq	1000000	1.6GHz	0xf0	
expt_seq	1000000	1.6GHz	0xf0	
expt_seq	1000000	1.6GHz	0xf0	
expt_seq	1000000	1.6GHz	0xf0	
expt_seq	1000000	1.6GHz	0x0f	
expt_seq	1000000	1.6GHz	0x0f	
expt_seq	1000000	1.6GHz	0x0f	
expt_seq	1000000	1.6GHz	0x0f	
expt_seq	1000000	1.6GHz	0x0f	
expt_seq	1000000	1.6GHz	0xff	
expt_seq	1000000	1.6GHz	0xff	
expt_seq	1000000	1.6GHz	0xff	
expt_seq	1000000	1.6GHz	0xff	
expt_seq	1000000	1.6GHz	0xff	
expt_seq	1000000	1.8GHz	0x09	
expt_seq	1000000	1.8GHz	0x09	
expt_seq	1000000	1.8GHz	0x09	
expt_seq	1000000	1.8GHz	0x09	
expt_seq	1000000	1.8GHz	0x09	
expt_seq	1000000	1.8GHz	0x60	
expt_seq	1000000	1.8GHz	0x60	
expt_seq	1000000	1.8GHz	0x60	
expt_seq	1000000	1.8GHz	0x60	
expt_seq	1000000	1.8GHz	0x60	
expt_seq	1000000	1.8GHz	0x69	
expt_seq	1000000	1.8GHz	0x69	
expt_seq	1000000	1.8GHz	0x69	
expt_seq	1000000	1.8GHz	0x69	
expt_seq	1000000	1.8GHz	0x69	
expt_seq	1000000	1.8GHz	0xf0	
expt_seq	1000000	1.8GHz	0xf0	
expt_seq	1000000	1.8GHz	0xf0	
expt_seq	1000000	1.8GHz	0xf0	
expt_seq	1000000	1.8GHz	0xf0	
expt_seq	1000000	1.8GHz	0x0f	
expt_seq	1000000	1.8GHz	0x0f	
expt_seq	1000000	1.8GHz	0x0f	
expt_seq	1000000	1.8GHz	0x0f	
expt_seq	1000000	1.8GHz	0x0f	
expt_seq	1000000	1.8GHz	0xff	
expt_seq	1000000	1.8GHz	0xff	
expt_seq	1000000	1.8GHz	0xff	
expt_seq	1000000	1.8GHz	0xff	
expt_seq	1000000	1.8GHz	0xff	
random_seq	10	1.6GHz	0x09	
random_seq	10	1.6GHz	0x09	
random_seq	10	1.6GHz	0x09	
random_seq	10	1.6GHz	0x09	
random_seq	10	1.6GHz	0x09	
random_seq	10	1.6GHz	0x60	
random_seq	10	1.6GHz	0x60	
random_seq	10	1.6GHz	0x60	
random_seq	10	1.6GHz	0x60	
random_seq	10	1.6GHz	0x60	
random_seq	10	1.6GHz	0x69	
random_seq	10	1.6GHz	0x69	
random_seq	10	1.6GHz	0x69	
random_seq	10	1.6GHz	0x69	
random_seq	10	1.6GHz	0x69	
random_seq	10	1.6GHz	0xf0	
random_seq	10	1.6GHz	0xf0	
random_seq	10	1.6GHz	0xf0	
random_seq	10	1.6GHz	0xf0	
random_seq	10	1.6GHz	0xf0	
random_seq	10	1.6GHz	0x0f	
random_seq	10	1.6GHz	0x0f	
random_seq	10	1.6GHz	0x0f	
random_seq	10	1.6GHz	0x0f	
random_seq	10	1.6GHz	0x0f	
random_seq	10	1.6GHz	0xff	
random_seq	10	1.6GHz	0xff	
random_seq	10	1.6GHz	0xff	
random_seq	10	1.6GHz	0xff	
random_seq	10	1.6GHz	0xff	
random_seq	10	1.8GHz	0x09	
random_seq	10	1.8GHz	0x09	
random_seq	10	1.8GHz	0x09	
random_seq	10	1.8GHz	0x09	
random_seq	10	1.8GHz	0x09	
random_seq	10	1.8GHz	0x60	
random_seq	10	1.8GHz	0x60	
random_seq	10	1.8GHz	0x60	
random_seq	10	1.8GHz	0x60	
random_seq	10	1.8GHz	0x60	
random_seq	10	1.8GHz	0x69	
random_seq	10	1.8GHz	0x69	
random_seq	10	1.8GHz	0x69	
random_seq	10	1.8GHz	0x69	
random_seq	10	1.8GHz	0x69	
random_seq	10	1.8GHz	0xf0	
random_seq	10	1.8GHz	0xf0	
random_seq	10	1.8GHz	0xf0	
random_seq	10	1.8GHz	0xf0	
random_seq	10	1.8GHz	0xf0	
random_seq	10	1.8GHz	0x0f	
random_seq	10	1.8GHz	0x0f	
random_seq	10	1.8GHz	0x0f	
random_seq	10	1.8GHz	0x0f	
random_seq	10	1.8GHz	0x0f	
